,T_HMP,WDIR,WS_MAX,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS,height,RH,oxypercent
237,-1.546,24.29,1.777,1.25,2.417,208.815,284.822,643.584,3810,73.214,51.65950271729011
238,-2.812,138.0,1.944,0.85,0.633,302.129,309.907,642.525,3810,100.0,51.65950271729011
239,-0.211,51.04,4.387,3.25,3.133,222.854,298.96,641.101,3810,43.197,51.65950271729011
240,-2.675,91.8,2.666,3.367,2.45,271.352,304.24,641.928,3810,100.0,51.65950271729011
241,-2.946,117.1,3.11,1.233,0.817,299.745,308.241,641.193,3810,100.0,51.65950271729011
242,-3.368,99.0,2.055,1.983,1.933,262.409,299.955,642.831,3810,100.0,51.65950271729011
243,-3.874,124.8,1.388,1.65,1.167,278.404,302.572,642.077,3810,100.0,51.65950271729012
244,-5.77,93.3,2.443,1.933,2.183,200.651,282.083,640.522,3810,100.0,51.65950271729011
245,-5.905,134.8,2.499,1.15,0.8,277.673,294.132,640.15,3810,100.0,51.65950271729011
246,-8.08,120.2,1.666,2.117,2.183,198.815,274.565,639.582,3810,100.0,51.65950271729011
247,-3.543,34.54,2.443,1.667,2.25,188.853,275.941,644.681,3810,38.224,51.65950271729011
248,-4.432,109.7,1.444,1.85,2.417,193.719,278.737,644.084,3810,58.318,51.65950271729011
249,-4.388,74.55,1.61,1.867,2.317,198.098,282.613,645.27,3810,69.136,51.65950271729011
250,-4.215,146.1,1.277,7.4,4.6,220.385,285.703,645.954,3810,72.404,51.65950271729012
251,-5.303,119.6,2.332,5.883,3.9,204.799,281.222,647.343,3810,87.316,51.65950271729011
252,-5.106,126.6,3.221,4.633,3.5,278.506,294.311,646.858,3810,100.0,51.65950271729011
253,-6.194,194.46961593975524,5.8471722518008145,1.167,1.167,289.639,289.837,641.901,3810,99.894,51.65950271729011
254,-6.043,127.7,1.444,2.6,2.283,281.621,289.018,639.78,3810,100.0,51.65950271729011
255,-8.26,127.3,3.499,8.983,6.9,269.124,281.747,638.836,3810,100.0,51.65950271729011
256,-3.159,45.98,2.277,6.967,6.033,229.086,285.053,642.939,3810,75.655,51.65950271729011
257,-3.619,122.9,2.221,5.833,4.317,289.685,300.145,641.505,3810,100.0,51.65950271729011
258,-5.342,128.9,4.554,0.9,1.917,293.387,292.604,641.469,3810,100.0,51.65950271729011
259,-5.257,121.6,1.666,2.983,3.517,296.099,293.029,641.256,3810,98.962,51.65950271729011
260,-4.748,129.8,1.61,4.217,4.017,289.641,283.509,641.859,3810,100.0,51.65950271729011
261,-0.794,14.6,2.332,4.583,5.333,207.638,289.931,643.591,3810,61.236,51.65950271729011
262,3.043,24.63,1.722,4.317,4.667,216.588,300.315,643.237,3810,35.17,51.65950271729011
263,0.437,60.79,5.165,4.833,4.8,213.282,304.109,642.477,3810,67.65,51.65950271729011
264,-1.386,79.15,3.721,3.833,3.283,251.159,306.191,642.061,3810,90.4,51.65950271729011
265,-2.152,83.5,1.777,4.883,4.533,210.332,297.863,642.906,3810,98.326,51.65950271729011
266,-2.686,125.5,2.888,2.1,1.467,301.921,306.849,643.566,3810,100.0,51.65950271729011
267,-3.527,105.2,3.943,2.683,2.1,297.522,300.769,642.937,3810,100.0,51.65950271729011
268,-4.398,115.1,2.443,6.967,6.117,252.15,288.589,642.862,3810,100.0,51.65950271729011
269,-7.674,74.67,2.055,8.667,7.467,271.942,276.04,640.822,3810,100.0,51.65950271729011
270,-6.161,147.6,2.055,14.55,11.2,258.0,287.252,641.199,3810,98.905,51.65950271729011
271,-4.387,86.9,3.778,14.267,10.983,242.977,285.996,642.422,3810,89.446,51.65950271729011
272,-4.676,137.4,3.276,4.95,3.717,288.094,301.094,641.876,3810,100.0,51.65950271729011
273,-5.862,125.1,2.11,8.283,6.867,252.462,292.27,638.227,3810,100.0,51.65950271729011
274,-2.364,84.7,3.499,9.317,8.45,182.381,280.518,640.717,3810,30.05,51.65950271729011
