TIMESTAMP,T_HMP,T_HMP_2,RH,RH_2,WS_MAX,WS_AVG,WDIR,WS_MAX_2,WS_AVG_2,WDIR_2,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS
2022-05-15 00:00:00,-22.45,-22.25,35.711,35.29,14.04,8.38,135.4,14.22,7.248,296.7,0.325,6.346,104.143,203.798,340.45
2022-05-15 01:00:00,-22.4,-22.17,33.581,33.064,16.37,8.66,162.0,13.0,6.016,270.2,71.47,24.64,105.444,204.653,340.8
2022-05-15 02:00:00,-21.99,-21.67,30.959,30.258,15.14,8.37,147.3,12.89,6.593,284.1,399.949,53.801,109.038,201.83,341.13
2022-05-15 03:00:00,-21.09,-20.73,9.424,9.096,13.49,10.99,146.8,12.07,9.14,285.4,650.877,182.836,109.666,213.931,341.37
2022-05-15 04:00:00,-20.44,-19.99,4.568,4.278,13.9,10.35,151.6,11.55,8.51,281.7,868.137,326.085,113.431,224.897,341.43
2022-05-15 05:00:00,-20.11,-19.64,5.893,5.535,13.9,11.04,156.3,11.26,8.77,277.1,1027.962,444.2,116.439,235.365,341.56
2022-05-15 06:00:00,-19.77,-19.31,7.217,6.782,14.86,9.88,158.2,12.07,7.781,275.5,1137.074,534.433,118.262,243.237,341.66
2022-05-15 07:00:00,-19.26,-18.85,15.372,14.695,15.0,9.25,158.6,12.77,7.175,275.0,1165.155,575.785,122.605,252.981,341.34
2022-05-15 08:00:00,-18.86,-18.47,29.879,28.916,18.01,12.3,151.7,14.92,9.98,281.8,1064.986,578.425,123.949,253.63,341.06
2022-05-15 09:00:00,-18.31,-17.95,25.835,25.059,17.6,13.11,154.2,14.22,10.65,280.2,815.256,546.224,128.352,252.885,341.04
2022-05-15 10:00:00,-17.88,-17.55,27.155,26.446,17.05,12.55,159.0,14.52,9.96,275.0,641.994,508.215,120.512,251.114,341.07
2022-05-15 11:00:00,-18.02,-17.75,31.902,31.255,16.78,12.28,160.4,13.24,9.64,273.3,617.305,424.847,113.616,246.369,341.04
2022-05-15 12:00:00,-18.37,-18.15,18.326,17.98,15.96,12.05,161.9,12.89,9.38,271.8,363.741,302.594,110.266,236.827,341.12
2022-05-15 13:00:00,-18.81,-18.6,9.954,9.713,14.73,11.33,159.5,12.02,8.86,274.1,100.527,122.433,107.32,226.902,341.31
2022-05-15 14:00:00,-19.86,-19.7,7.024,6.831,13.22,11.12,160.2,10.74,8.74,273.4,-6.581,1.746,104.249,211.873,341.53
2022-05-15 15:00:00,-20.68,-20.51,5.647,5.455,11.99,8.88,158.5,9.4,6.941,274.9,-6.533,1.671,108.199,213.894,341.72
2022-05-15 16:00:00,-21.04,-20.86,7.559,7.309,10.07,8.72,163.6,8.47,6.626,269.3,-6.45,1.6,107.626,211.165,341.84
2022-05-15 17:00:00,-21.41,-21.21,4.958,4.691,12.12,9.24,165.7,9.81,7.046,267.6,-5.978,1.506,113.856,209.666,341.6
2022-05-15 18:00:00,-21.43,-21.21,4.304,4.0,13.49,11.2,169.1,10.04,8.42,264.7,-5.329,1.25,122.61,210.021,341.24
2022-05-15 19:00:00,-21.68,-21.45,5.21,4.799,14.04,11.12,175.2,10.5,8.09,258.8,-3.868,0.674,146.919,211.808,340.76
2022-05-15 20:00:00,-21.75,-21.53,33.183,32.612,17.19,12.43,170.5,13.47,9.36,263.5,-4.374,0.857,137.122,211.424,340.33
2022-05-15 21:00:00,-22.21,-21.98,69.917,69.269,16.78,11.25,175.0,12.89,8.09,258.6,-5.18,0.848,122.154,210.304,340.02
2022-05-15 22:00:00,-21.95,-21.67,38.816,38.317,14.04,10.89,182.8,10.62,7.499,250.8,-5.704,1.188,106.775,206.753,339.88
2022-05-15 23:00:00,-21.55,-21.26,5.533,5.27,12.81,9.51,188.4,9.46,6.044,244.0,-6.221,0.964,105.006,204.631,339.71
2022-05-16 00:00:00,-21.64,-21.35,4.463,4.211,12.94,9.97,186.9,9.52,6.368,244.9,0.958,6.263,104.15,203.876,339.75
2022-05-16 01:00:00,-21.53,-21.3,5.245,4.996,13.63,10.12,190.7,10.16,6.159,241.7,74.921,26.732,102.596,201.615,339.9
2022-05-16 02:00:00,-21.43,-21.3,7.366,7.183,14.45,9.15,192.5,12.02,5.432,241.8,402.549,57.066,108.582,198.087,339.99
2022-05-16 03:00:00,-21.97,-21.94,12.2,12.158,11.57,7.083,197.9,7.655,4.237,235.8,656.306,183.501,112.042,213.755,340.17
2022-05-16 04:00:00,-21.91,-22.0,18.249,18.469,11.71,7.345,200.3,8.47,4.541,234.0,864.313,323.0,115.033,225.859,340.23
2022-05-16 05:00:00,-22.15,-22.32,23.693,24.181,13.22,8.07,191.8,9.23,5.263,241.6,1036.798,435.335,116.996,236.65,340.16
2022-05-16 06:00:00,-22.02,-22.13,18.461,18.685,13.63,8.78,181.3,9.92,6.063,252.2,1132.336,515.699,119.105,244.44,339.96
2022-05-16 07:00:00,-21.39,-21.28,9.968,9.62,15.82,11.87,172.8,11.96,8.8,261.4,1160.802,563.024,120.393,247.655,339.86
2022-05-16 08:00:00,-20.41,-20.07,11.95,11.4,17.05,13.01,159.1,13.64,10.5,274.6,1040.412,560.2,120.582,249.803,339.52
2022-05-16 09:00:00,-19.79,-19.47,61.827,60.58,18.42,14.81,164.0,14.46,11.54,270.1,862.153,526.312,126.769,252.423,339.42
2022-05-16 10:00:00,-19.66,-19.36,20.024,19.407,18.7,15.31,161.7,15.33,12.13,271.9,598.073,492.077,116.032,245.374,339.22
2022-05-16 11:00:00,-18.95,-18.65,41.556,40.655,19.93,15.34,159.2,16.03,12.22,274.2,615.596,419.458,122.102,242.681,339.17
2022-05-16 12:00:00,-21.05,-20.77,72.888,72.125,17.74,13.73,156.8,15.33,11.07,276.3,183.508,129.872,187.207,235.536,338.87
2022-05-16 13:00:00,-21.63,-21.42,83.34,82.605,21.44,14.1,155.3,17.48,11.57,278.6,21.95,17.086,179.919,222.969,339.19
2022-05-16 14:00:00,-21.19,-20.98,100.0,100.0,13.63,10.7,153.6,12.42,9.38,280.2,-2.089,0.859,203.794,218.091,339.56
2022-05-16 15:00:00,-22.47,-22.28,100.0,100.0,16.09,11.1,156.4,14.57,9.91,277.9,-3.856,0.938,183.272,220.644,339.6
2022-05-16 16:00:00,-22.37,-22.18,100.0,100.0,15.96,12.23,157.3,13.88,10.63,276.3,-2.618,0.741,185.083,221.053,339.48
